PredSIT,X,Y
1.5411469,424696.37640493934,720272.6090677186
1.529565,449587.81397188205,720273.9026608359
1.5527972,474479.38930437044,720275.2696653241
1.5298083,499371.109984781,720276.7100403549
1.5097119,524262.98358838,720278.2237430869
1.5003244,549155.0176827116,720279.8107283169
1.511844,574047.2198274118,720281.4709487596
1.5262443,598939.597573733,720283.2043549058
2.0297809,-620718.7755590142,695391.7109646098
2.0678923,-595826.309834802,695389.975185788
2.0340796,-570934.0263640066,695388.3100400852
1.9720383,-546041.9176008536,695386.7155771569
1.9419645,-521149.97599089815,695385.1918445724
1.9418977,-496258.19397129584,695383.7388876787
1.9172668,-471366.5639713979,695382.3567498851
1.8746977,-446475.07841287024,695381.0454723116
1.8604345,-421583.72971024906,695379.8050940282
1.814194,-396692.51027125545,695378.6356519668
1.8071107,-371801.41249719384,695377.5371809452
1.792045,-346910.4287833472,695376.5097137055
1.7334119,-322019.5515193002,695375.5532808084
1.7235861,-297128.77308935666,695374.6679106945
1.7325202,-272238.08587294363,695373.8536297479
1.7235966,-247347.48224492566,695373.1104621514
1.7012796,-222456.95457604315,695372.4384300095
1.7028308,-197566.49523328827,695371.8375533862
1.6601424,-172676.09658021916,695371.3078500738
1.6648284,-147785.7509774158,695370.8493358425
1.7051852,-122895.45078282362,695370.4620243338
1.751945,-98005.18835213558,695370.1459270583
1.7717717,-73114.95603917404,695369.901053423
1.726509,-48224.74619626746,695369.7274106987
1.7285693,-23334.55117463239,695369.6250040497
1.733894,1555.63667524963,695369.5938365302
1.6981496,26445.825003251906,695369.6339090263
1.6401182,51336.021459222386,695369.7452203821
1.5899098,76226.23369261672,695369.9277673402
1.4903101,101116.46935208463,695370.1815443388
1.4615631,126006.7360851502,695370.5065439777
1.4476205,150897.0415377554,695370.902756462
1.4536896,175787.3933539694,695371.3701701281
1.4699208,200677.79917553024,695371.908771024
1.4858491,225568.2666415008,695372.5185431114
1.5043269,250458.80338791068,695373.1994682997
1.5010287,275349.4170473346,695373.9515263207
1.4885899,300240.11524852656,695374.7746947756
1.5165447,325130.905616075,695375.6689492138
1.4930099,350021.79576998187,695376.6342630315
1.5051372,374912.79332528217,695377.6706074745
1.5150316,399803.90589168796,695378.7779516918
1.5369142,424695.1410732082,695379.9562627261
1.5364989,449586.5064677419,695381.2055054704
1.535233,474478.0096667605,695382.5256427611
1.5289102,499369.6582548417,695383.9166352476
1.5175917,524261.45980935264,695385.3784414863
1.4994968,549153.4219000624,695386.9110179272
1.5090629,574045.5520887028,695388.5143188364
1.5141281,598937.8579287122,695390.1882964539
1.5220888,623830.3469647022,695391.9329008034
2.0627558,-645609.6221533841,670500.595537611
2.080516,-620717.0359405915,670498.8533593854
2.0550878,-595824.6395698158,670497.1792548066
2.032448,-570932.425502262,670495.5732737746
1.9963268,-546040.3861900917,670494.0354641875
1.9566007,-521148.51407674525,670492.565871873
1.9329425,-496256.8015973563,670491.1645406294
1.9316984,-471365.24117913,670489.8315122289
1.8275985,-446473.82524168974,670488.5668263716
1.8392752,-421582.5461974597,670487.3705206838
1.8579178,-396691.3964521192,670486.2426308378
1.7748061,-371800.3684048636,670485.1831903612
1.7711389,-346909.4544488926,670484.1922308207
1.7601485,-322018.64697170403,670483.2697816647
1.7236093,-297127.9383555351,670482.4158703444
1.7559122,-272237.3209777471,670481.6305223375
1.7256546,-247346.7872110837,670480.913760863
1.7043,-222456.3294242466,670480.2656073452
1.684501,-197565.93998210144,670479.6860809913
1.6865056,-172675.61124617403,670479.175199109
1.7011104,-147785.335574928,670478.7329767791
1.6961979,-122895.10532424673,670478.3594272217
1.7964765,-98004.91284774049,670478.0545615245
1.7657048,-73114.75049715064,670477.8183887647
1.7716388,-48224.61062272065,670477.6509158945
1.746442,-23334.485573595495,670477.5521479768
1.7394204,1555.6323018280302,670477.52208791
1.7204227,26445.750655500928,670477.5607365222
1.7111584,51335.877139356184,670477.6680927997
1.6283176,76226.01940491558,670477.8441534444
1.5202805,101116.18510292933,670478.0889132699
1.4906012,126006.38188297347,670478.402364958
1.459114,150896.61739310637,670478.7844992665
1.4711454,175786.89927944986,670479.2353048061
1.469766,200677.23518582652,670479.7547681503
1.4892768,225567.63275338677,670480.3428738605
1.5285783,250458.09962022505,670480.9996044544
1.5027862,275348.6434210217,670481.7249404549
1.4785494,300239.27178659773,670482.5188602266
1.4743478,325129.99234361283,670483.3813401789
1.4812272,350020.8127141523,670484.3123546658
1.5112288,374911.7405153401,670485.3118759819
1.518206,399802.7833589897,670486.3798744159
1.5318446,424693.9488511589,670487.5163181312
1.5341957,449585.2445918488,670488.7211733117
1.5477053,474476.6781745838,670489.9944040851
1.5322802,499368.257186053,670491.3359725515
1.5192038,524259.98920572124,670492.7458387719
1.5075943,549151.881805374,670494.2239606706
1.5250844,574043.9425488912,670495.770294234
1.5209212,598936.1789917632,670497.3847933781
1.5432143,623828.5986807029,670499.0674099333
1.5171782,648721.2091533367,670500.8180937374
2.0643916,-670500.5955376109,645609.6221533843
2.0382245,-645607.8786952506,645607.8786952504
2.0505328,-620715.3592762082,645606.200750943
2.0661392,-595823.0297491956,645604.5883705389
2.058941,-570930.8825733729,645603.0416020437
1.9971496,-546038.9101989588,645601.5604916476
1.9672127,-521147.1050673507,645600.1450834352
1.9502991,-496255.4596116729,645598.7954195756
1.9130299,-471363.96625712584,645597.5115402896
1.8724107,-446472.6174213418,645596.2934838227
1.8240633,-421581.40551471774,645595.1412863777
1.8337189,-396690.32294092624,645594.0549822925
1.781143,-371799.36209719535,645593.0346039176
1.788485,-346908.5153746525,645592.0801815296
1.7642307,-322017.77515885496,645591.191743599
1.7578421,-297127.13383001584,645590.3693165275
1.7280451,-272236.583763439,645589.6129247278
1.7209625,-247346.11732996,645588.9225907765
1.7205377,-222455.72689619075,645588.2983351003
1.7033247,-197565.40482503935,645587.7401763113
1.704295,-172675.14347599447,645587.2481309712
1.719035,-147784.9352055502,645586.8222137211
1.691196,-122894.7723675709,645586.4624372417
1.718116,-98004.64731365789,645586.1688121916
1.7459524,-73114.55239354813,645585.9413472877
1.7408239,-48224.47995549035,645585.7800493083
1.762686,-23334.422346615665,645585.6849230322
1.7637419,1555.6280866777727,645585.6559712489
1.7634017,26445.678998346222,645585.6931949203
1.7475798,51335.73804232459,645585.7965928707
1.6984522,76225.81287214307,645585.96616203
1.5835197,101115.91114054447,645586.2018973237
1.5054923,126006.0404991276,645586.5037918291
1.4594816,150896.2085979364,645586.871836532
1.4702399,175786.42308511474,645587.3060205553
1.4960294,200676.69160646526,645587.806330878
1.5085474,225567.02180517616,645588.3727527463
1.490248,250457.42132131665,645589.005269233
1.4748708,275347.8977915851,645589.7038616281
1.444196,300238.4588487925,645590.4685090625
1.4577136,325129.1121216331,645591.2991888896
1.4431195,350019.86523418385,645592.1958763838
1.4838306,374910.725805554,645593.1585448353
1.5046035,399801.7014495638,645594.1871656384
1.5295733,424692.79977429926,645595.2817081853
1.5074958,449584.0283817884,645596.4421399401
1.5208523,474475.39486752305,645597.6684263024
1.5121723,499366.906820197,645598.9605307851
1.5002282,524258.57182126376,645600.3184149106
1.4928554,549150.3974445686,645601.7420382329
1.5299172,574042.3912559821,645603.2313583548
1.5277636,598934.5608130001,645604.7863308963
1.5345515,623826.9136643407,645606.4069094807
1.5174313,648719.4573496229,645608.0930457889
1.5264593,673612.1993989502,645609.844689526
2.0402946,-695391.7109646098,620718.7755590143
2.0590985,-670498.8533593854,620717.0359405914
2.0318868,-645606.2007509434,620715.3592762081
2.0873973,-620713.7456158678,620713.7456158678
2.0725944,-595821.4804209083,620712.1950076836
