PredSIT,X,Y
1.4928488,325137.07771949447,844734.1301516049
1.4671531,350028.43948414875,844735.3006217462
1.4840484,374919.9084522457,844736.5572181318
1.4871745,399811.4922194252,844737.8999033003
1.9333781,-446482.02317701594,819846.7812344513
1.9184316,-421590.28844592295,819845.3210738068
1.8731055,-396698.68278299656,819843.9444181944
1.837811,-371807.19860107737,819842.6513086536
1.7915796,-346915.82830697123,819841.4417837408
1.7551107,-322024.56430181913,819840.3158795118
1.7490284,-297133.3989814852,819839.2736295438
1.7846289,-272242.3247369232,819838.3150649073
1.7719073,-247351.3339545633,819837.4402141821
1.7108628,-222460.4190166676,819836.6491033846
1.6725978,-197569.57230176002,819835.9417561251
1.6832166,-172678.78618496459,819835.3181934822
1.7102174,-147788.05303839012,819834.7784340171
1.7368397,-122897.36523151747,819834.3224937945
1.7101512,-98006.71513158413,819833.9503864264
1.7074012,-73116.09510394589,819833.6621229638
1.6782693,-48225.49751246895,819833.4577119818
1.6377435,-23334.91471991322,819833.337159628
1.5616992,1555.6609117062696,819833.3004694434
1.5004307,26446.237020726774,819833.3476425256
1.4778074,51336.82124545789,819833.4786774633
1.4364203,76227.42122381063,819833.6935703707
1.4213827,101118.04459291053,819833.9923148308
1.3903291,126008.6989887292,819834.3749019821
1.3981857,150899.39204568762,819834.8413203877
1.39751,175790.13139630048,819835.3915561989
1.4278855,200680.9246707637,819836.025592966
1.4648389,225571.7794966314,819836.7434118977
1.491273,250462.70349835505,819837.5449915105
1.492711,275353.7042969792,819838.430307956
1.4983233,300244.7895097318,819839.399334865
1.4901538,325135.96674965485,819840.4520433891
1.4890622,350027.24362516974,819841.5884020653
1.4887972,374918.62773980055,819842.8083770754
1.4844576,399810.1266917157,819844.1119320405
1.4814087,424701.74807337305,819845.4990280868
1.5139744,449593.49947113177,819846.9696238296
2.0165305,-496264.2664971514,794956.2388089184
1.964037,-471372.33303332166,794954.6606601573
1.922398,-446480.54383888055,794953.1634204468
1.8974737,-421588.89133744343,794951.7471344426
1.8592039,-396697.3679458176,794950.4118443651
1.8350296,-371805.9660744044,794949.1575900454
1.7854636,-346914.67812757136,794947.98440892
1.7859088,-322023.4965039765,794946.892335903
1.7954589,-297132.41359701194,794945.8814035254
1.7595747,-272241.4217951847,794944.9516419405
1.7600609,-247350.5134824532,794944.1030788283
1.7248156,-222459.68103864486,794943.3357394936
1.6709661,-197568.9168398019,794942.649646764
1.6766802,-172678.21325859177,794942.0448210839
1.7190667,-147787.56266466077,794941.52128044
1.7075322,-122896.95742503874,794941.0790404403
1.7314975,-98006.3899044975,794940.7181142581
1.7150882,-73115.85246593613,794940.4385126241
1.6826516,-48225.33747076476,794940.2402438986
1.6423512,-23334.83727927327,794940.1233139051
1.5974551,1555.6557489749189,794940.0877261878
1.5365586,26446.149254776155,794940.133481804
